,accession,assembly,biological_replicates,file_format,file_size,output_type,status,url,organism,cell_line,target
0,ENCFF881MTS,hg19,[1],bigWig,1454231327,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/09/18/1d0b4430-e5d6-4f37-9031-f9103a8d5841/ENCFF881MTS.bigWig,human,HEK293,ZNF707
0,ENCFF439CRS,hg19,"[1, 2]",bigWig,641853173,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/05/26/47dbf8b9-4ccb-4f20-a1a5-98c5721547d3/ENCFF439CRS.bigWig,human,IMR-90,H2BK12ac
1,ENCFF870XFG,GRCh38,"[1, 2]",bigWig,635974150,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/05/26/ef939e1a-27b9-4a98-9802-10010baf737f/ENCFF870XFG.bigWig,human,IMR-90,H2BK12ac
0,ENCFF496BAC,GRCh38,"[1, 2]",bigWig,1799688865,fold change over control,archived,https://encode-public.s3.amazonaws.com/2016/07/12/1fb371ac-fc80-45a3-b69e-b3688887a554/ENCFF496BAC.bigWig,human,MM.1S,H3K4me1
1,ENCFF068VQX,GRCh38,[2],bigWig,1830134252,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/09/28/4b028065-d09d-4a6a-8199-979529dce2a2/ENCFF068VQX.bigWig,human,MM.1S,H3K4me1
2,ENCFF017PMA,GRCh38,"[1, 2]",bigWig,2287039665,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/09/28/6be07d51-0520-4619-b0b3-8e86aaf27247/ENCFF017PMA.bigWig,human,MM.1S,H3K4me1
0,ENCFF090XGM,hg19,[1],bigWig,1515855782,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/09/18/75dd0751-803c-4c2f-88d8-3b4e525baef1/ENCFF090XGM.bigWig,human,HEK293,MAZ
1,ENCFF085TTG,GRCh38,"[1, 2]",bigWig,1825414649,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/10/28/f4bdb190-d2a7-45b3-908f-5617da9ee127/ENCFF085TTG.bigWig,human,HEK293,MAZ
0,ENCFF830KIB,hg19,[2],bigWig,1778411967,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/03/06/77b93827-13e2-4a7d-b703-10ca7b41e27a/ENCFF830KIB.bigWig,human,HEK293,ZNF777
1,ENCFF596HIN,GRCh38,[2],bigWig,1771556727,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/03/06/40b77922-fd0e-4fb1-8a33-844e020b81e4/ENCFF596HIN.bigWig,human,HEK293,ZNF777
2,ENCFF150AVW,GRCh38,"[1, 2]",bigWig,2301750386,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/03/06/fcf93310-b4da-45e3-a1b9-c64cddbfe363/ENCFF150AVW.bigWig,human,HEK293,ZNF777
0,ENCFF736LHE,GRCh38,"[1, 2]",bigWig,1206836202,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/02/08/59f52ec5-17b9-4de6-b4e3-46aadca158b2/ENCFF736LHE.bigWig,human,HepG2,H3K4me3
1,ENCFF554PRV,hg19,[1],bigWig,856853855,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/02/08/d54682b2-ef64-4805-8f7b-775e6784af03/ENCFF554PRV.bigWig,human,HepG2,H3K4me3
2,ENCFF741UBT,hg19,"[1, 2]",bigWig,1168402282,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/02/08/480875c8-74b2-403c-bb90-c29c0540c540/ENCFF741UBT.bigWig,human,HepG2,H3K4me3
0,ENCFF171JNY,GRCh38,[1],bigWig,700648508,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/10/24/18a2c3f3-ba53-4cb2-b7c3-88ed8c1ad09c/ENCFF171JNY.bigWig,human,K562,ATF1
0,ENCFF766ZIX,hg19,[1],bigWig,1325013647,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/09/18/eea9625e-a188-4070-9d82-fb5874aa7cf5/ENCFF766ZIX.bigWig,human,HEK293,ZEB2
0,ENCFF970XTI,hg19,[1],bigWig,1116981003,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/09/18/87c4ab88-5b5d-43af-9cc4-ee4560ad63e6/ENCFF970XTI.bigWig,human,HEK293,ATF2
0,ENCFF843WMU,hg19,[1],bigWig,1028295975,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/03/08/dac878d1-1115-4f64-b364-ea35f718aa74/ENCFF843WMU.bigWig,human,HepG2,NCOR1
0,ENCFF727ZEG,hg19,"[1, 2]",bigWig,594478523,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/06/17/bd6c5652-fc3d-42cf-afbd-fad3b7d78a58/ENCFF727ZEG.bigWig,human,HL-60,POLR2AphosphoS5
1,ENCFF408VIT,GRCh38,[2],bigWig,277069032,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/06/17/a704b7a1-3ffa-4cb3-b3e5-e76bed4618e1/ENCFF408VIT.bigWig,human,HL-60,POLR2AphosphoS5
0,ENCFF957STN,GRCh38,[2],bigWig,425846904,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/04/09/c56e9c20-cc4e-45c9-81ae-d67637ca6222/ENCFF957STN.bigWig,human,HepG2,CTCF
1,ENCFF601JOJ,GRCh38,"[1, 2]",bigWig,653052833,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/04/09/edd2a99f-a9b8-465e-b719-11467a513817/ENCFF601JOJ.bigWig,human,HepG2,CTCF
2,ENCFF804LNZ,hg19,"[1, 2]",bigWig,655488472,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/04/11/67ae48b4-9893-4f1c-aac5-dc2d81709726/ENCFF804LNZ.bigWig,human,HepG2,CTCF
0,ENCFF610EUI,hg19,[2],bigWig,1358295719,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/11/27/5ed6c23e-3b23-4ffa-82d1-41b442bb7819/ENCFF610EUI.bigWig,human,HEK293,ZNF37A
1,ENCFF076RJG,GRCh38,[2],bigWig,1359867272,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/11/27/d052433b-d410-4478-b5a6-8ab9b0d5c7ed/ENCFF076RJG.bigWig,human,HEK293,ZNF37A
0,ENCFF119AYI,GRCh38,[1],bigWig,980368876,fold change over control,archived,https://encode-public.s3.amazonaws.com/2016/06/23/486492eb-f260-4bd4-8e00-98fd97714a63/ENCFF119AYI.bigWig,human,MM.1S,H3K27ac
1,ENCFF651GRG,GRCh38,[2],bigWig,1094896148,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/10/05/0b6dd25e-0de6-4a27-b5fa-7b7adb6ac1f5/ENCFF651GRG.bigWig,human,MM.1S,H3K27ac
2,ENCFF226XSS,GRCh38,"[1, 2]",bigWig,1808611618,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/10/05/c7d134e3-3b67-4d30-88a1-66b6f59641f0/ENCFF226XSS.bigWig,human,MM.1S,H3K27ac
3,ENCFF305ARC,hg19,"[1, 2]",bigWig,1852866903,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/10/14/d701dcb8-9944-4101-8406-150ba945e5d6/ENCFF305ARC.bigWig,human,MM.1S,H3K27ac
0,ENCFF062RVU,GRCh38,[1],bigWig,590584809,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/12/16/c2ae16d8-9e2b-492a-bfaf-856cb6d6db97/ENCFF062RVU.bigWig,human,A549,FOSL2
1,ENCFF660SDY,GRCh38,[2],bigWig,528687637,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/12/16/2ae727b8-c40b-447e-8640-fd244c7a5cf0/ENCFF660SDY.bigWig,human,A549,FOSL2
2,ENCFF340TFY,GRCh38,"[1, 2]",bigWig,913054873,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/12/16/485726f8-a48b-42db-bed0-b04ec1779099/ENCFF340TFY.bigWig,human,A549,FOSL2
3,ENCFF568MCJ,hg19,[1],bigWig,588633000,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/12/08/f4b1e47a-14c8-4b5b-a18e-c9ac6c5bdbcd/ENCFF568MCJ.bigWig,human,A549,FOSL2
0,ENCFF980EZZ,GRCh38,[1],bigWig,413073121,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/10/31/e98b1cb7-787e-4fd1-8a29-8338f9e3e5f2/ENCFF980EZZ.bigWig,human,GM12878,HSF1
0,ENCFF138UTM,hg19,[1],bigWig,1434498441,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/03/06/8e2ec89e-7e13-47ce-9989-7593b851273c/ENCFF138UTM.bigWig,human,HEK293,ZSCAN5C
1,ENCFF341MIC,hg19,[2],bigWig,1884226595,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/03/06/0dc5831a-d38b-42f7-ae9d-4ca4f16de771/ENCFF341MIC.bigWig,human,HEK293,ZSCAN5C
2,ENCFF908OIU,GRCh38,"[1, 2]",bigWig,2363878481,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/03/06/edead1e5-6a2c-4a4a-91e8-a1ed578ddbe0/ENCFF908OIU.bigWig,human,HEK293,ZSCAN5C
0,ENCFF950LZG,hg19,[1],bigWig,498236781,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/02/20/7b6792a9-7bbe-4812-b6f5-83234e3e9436/ENCFF950LZG.bigWig,human,IMR-90,H2BK20ac
1,ENCFF575ZQY,GRCh38,"[1, 2]",bigWig,685622493,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/04/12/4e7ac24e-dfac-45e0-8fa0-d97ce7057e83/ENCFF575ZQY.bigWig,human,IMR-90,H2BK20ac
0,ENCFF156PYW,GRCh38,[1],bigWig,418677774,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/10/24/f6e1b26b-4139-4bff-83d2-ff8f61b83a89/ENCFF156PYW.bigWig,human,HepG2,MBD1
1,ENCFF883ZNP,GRCh38,"[1, 2]",bigWig,660235030,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/10/24/85bd85db-38da-4c41-9456-1dd9c16c2dec/ENCFF883ZNP.bigWig,human,HepG2,MBD1
0,ENCFF640LDV,hg19,[1],bigWig,1475360467,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/09/18/afd2d6fc-538e-4d8d-806b-00b073e0a0b7/ENCFF640LDV.bigWig,human,HEK293,ZNF280D
0,ENCFF277EZC,GRCh38,[2],bigWig,973362296,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/02/08/164f8f29-2ffa-4f45-af4a-47feab641462/ENCFF277EZC.bigWig,human,HepG2,KDM1A
1,ENCFF831LSX,GRCh38,"[1, 2]",bigWig,1792549388,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/02/08/3e7e217c-6c7e-48ea-9571-19541e95b730/ENCFF831LSX.bigWig,human,HepG2,KDM1A
2,ENCFF358GET,GRCh38,[1],bigWig,1494558251,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/02/08/dceae8e7-c2c7-4dfd-8575-f22d39b6ca0f/ENCFF358GET.bigWig,human,HepG2,KDM1A
