accession,assembly,biological_replicates,file_format,file_size,output_type,status,url,organism,cell_line,target
ENCFF571ECM,hg19,"[1, 2]",bigWig,2515200163,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/05/07/a18b8785-ef0b-4c28-a282-7ec1557371a8/ENCFF571ECM.bigWig,human,K562,REST
ENCFF447BCK,hg19,"[1, 2]",bigWig,2509377832,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/05/07/f689efdb-3a5f-4078-8004-330c028d346b/ENCFF447BCK.bigWig,human,K562,MEIS2
ENCFF232LHF,hg19,"[1, 2]",bigWig,2504054910,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/09/17/bd8ddb7f-1089-4112-9723-a0a2654eedf8/ENCFF232LHF.bigWig,human,K562,ZBTB8A
ENCFF892SCG,hg19,"[1, 2]",bigWig,2501777386,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/09/17/28b8bd52-0a54-426d-a0fc-ba75ca69a8f6/ENCFF892SCG.bigWig,human,MCF-7,PPP1R10
ENCFF977NZB,hg19,"[1, 2]",bigWig,2497383321,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/02/15/c5def6dd-86b8-4272-b548-d143b127ee1a/ENCFF977NZB.bigWig,human,HEK293,eGFP-ZNF473
ENCFF660YEV,hg19,"[1, 2]",bigWig,2493538387,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/09/17/20466344-6a62-4134-bfcf-9ba537a47c3e/ENCFF660YEV.bigWig,human,K562,XRCC3
ENCFF282CAH,hg19,"[2, 3]",bigWig,2487819241,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/03/12/9aa42461-9c81-4f68-b1c9-ee9018eb59b2/ENCFF282CAH.bigWig,human,K562,ZNF24
ENCFF103ZKD,hg19,"[1, 2]",bigWig,2485554487,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/12/08/1663f4d3-9636-4ae2-b724-b8401ce7f3d4/ENCFF103ZKD.bigWig,human,HEK293,eGFP-ZNF768
ENCFF937HON,hg19,"[1, 2]",bigWig,2478563944,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/06/24/9b4124d2-0d2e-4a58-9fa4-74ee313b65af/ENCFF937HON.bigWig,human,GM12878,ELF1
ENCFF306QAA,hg19,"[1, 2]",bigWig,2473811404,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/09/17/5a7b4b02-71d1-4380-aed6-dd5a70293884/ENCFF306QAA.bigWig,human,K562,GMEB1
ENCFF816PEQ,hg19,"[1, 2]",bigWig,2465532513,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/09/16/ab9d402f-7d1e-44a9-999a-07fba187d157/ENCFF816PEQ.bigWig,human,HEK293,eGFP-ZNF501
