accession,assembly,biological_replicates,file_format,file_size,output_type,status,url,organism,cell_line,target
ENCFF345LNB,hg19,"[1, 2]",bigWig,880008941,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/06/13/709042e1-82b9-4d14-ba68-6dc87820bd7c/ENCFF345LNB.bigWig,human,HepG2,3xFLAG-TGIF2
ENCFF462LCU,hg19,"[1, 2]",bigWig,879093045,fold change over control,released,https://encode-public.s3.amazonaws.com/2018/02/26/31ee07f7-e314-4baf-9d5f-75256849a71d/ENCFF462LCU.bigWig,human,HepG2,SOX13
ENCFF899DYD,hg19,"[1, 2]",bigWig,876928090,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/02/29/0bd3c12d-74f3-456e-988f-c4e544e32af7/ENCFF899DYD.bigWig,human,K562,TCF7L2
ENCFF502UBW,hg19,"[1, 2]",bigWig,876832979,fold change over control,released,https://encode-public.s3.amazonaws.com/2018/11/19/077027ca-be3c-475f-9b22-482781fb2666/ENCFF502UBW.bigWig,human,HepG2,3xFLAG-ARID4B
ENCFF926GDZ,hg19,"[1, 2]",bigWig,874677728,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/02/29/a99bb9a8-1d56-49e8-8a83-968797864b40/ENCFF926GDZ.bigWig,human,K562,ZFP36
ENCFF764LLV,hg19,"[1, 2]",bigWig,873277066,fold change over control,released,https://encode-public.s3.amazonaws.com/2018/02/09/1b492a73-d2e1-484a-a2df-60adeabebae2/ENCFF764LLV.bigWig,human,HepG2,3xFLAG-IRF2
ENCFF257YKB,hg19,"[1, 2]",bigWig,872995416,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/08/23/53ec474e-70b7-4bea-b36a-3fe49bb02b12/ENCFF257YKB.bigWig,human,K562,ZMIZ1
ENCFF181YKE,hg19,"[1, 2]",bigWig,869611657,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/02/29/a9cf5d91-2586-44d5-8353-075bd1efbafd/ENCFF181YKE.bigWig,human,K562,ZKSCAN1
ENCFF378WAG,hg19,"[1, 2]",bigWig,869348628,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/12/08/c97bd0c2-74f5-417b-96d7-e45c1525dfb7/ENCFF378WAG.bigWig,human,A549,TAF1
ENCFF403JWE,hg19,"[1, 2]",bigWig,865373117,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/11/16/32012645-1a24-4415-8ff2-71ca72b771bd/ENCFF403JWE.bigWig,human,GM12878,CREM
ENCFF433QCW,hg19,"[1, 2]",bigWig,862566721,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/04/23/2a02c392-d403-4163-8118-c99577bb0556/ENCFF433QCW.bigWig,human,K562,eGFP-ZNF83
ENCFF038WUV,hg19,"[1, 2]",bigWig,862141092,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/12/08/2ded724a-6af7-4f3f-a894-f0cf5b072394/ENCFF038WUV.bigWig,human,H1,TAF7
ENCFF560SPJ,hg19,"[1, 2]",bigWig,857286381,fold change over control,released,https://encode-public.s3.amazonaws.com/2018/11/19/9d63824c-a835-4563-bdb4-005cd8f8cc85/ENCFF560SPJ.bigWig,human,HepG2,3xFLAG-TEAD1
ENCFF803QZF,hg19,"[1, 2]",bigWig,854910328,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/01/27/3cbcb066-cf57-4c4c-bb30-5806654dd9cc/ENCFF803QZF.bigWig,human,HepG2,TCF7
ENCFF130KQG,hg19,"[1, 2]",bigWig,851612102,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/08/16/3f2cf3f3-0305-4dcf-adbf-cc7d00ec37cd/ENCFF130KQG.bigWig,human,K562,RBM17
